ra,dec,r,name,ra_hms,dec_dms,ra_deg,dec_deg,z,imag,comment
119.119654697461,20.9005357704599,16.73778,J075627.70+205413.9,8/25/2017 7:56:27 AM,+20:54:13.9,119.1154,20.90386,2.211,19.1,N-rich_QSO
119.097232320153,20.9234486493889,15.66134,J075627.70+205413.9,8/25/2017 7:56:27 AM,+20:54:13.9,119.1154,20.90386,2.211,19.1,N-rich_QSO
120.871001585,17.6986410737093,15.90338,J080325.04+174239.0,8/25/2017 8:03:25 AM,+17:42:39.0,120.8543,17.71083,2.092,18.25,N-rich_QSO
120.856924648071,17.7164634266123,16.67726,J080325.04+174239.0,8/25/2017 8:03:25 AM,+17:42:39.0,120.8543,17.71083,2.092,18.25,N-rich_QSO
124.115582301644,6.75860672216159,12.22071,J081625.40+064535.1,8/25/2017 8:16:25 AM,+06:45:35.1,124.1058,6.75975,1.946,18.79,N-rich_QSO
124.110559479086,6.77713539932863,16.49504,J081625.40+064535.1,8/25/2017 8:16:25 AM,+06:45:35.1,124.1058,6.75975,1.946,18.79,N-rich_QSO
124.106052058231,6.74489668287382,15.50632,J081625.40+064535.1,8/25/2017 8:16:25 AM,+06:45:35.1,124.1058,6.75975,1.946,18.79,N-rich_QSO
124.090016712964,6.77792995290905,15.55205,J081625.40+064535.1,8/25/2017 8:16:25 AM,+06:45:35.1,124.1058,6.75975,1.946,18.79,N-rich_QSO
123.336330360081,0.509883517662182,16.49923,J081322.09+003018.6,8/25/2017 8:13:22 AM,+00:30:18.6,123.342,0.5051666,2.695,19.49,N-rich_QSO
123.331533287243,0.4975603023818,16.15138,J081322.09+003018.6,8/25/2017 8:13:22 AM,+00:30:18.6,123.342,0.5051666,2.695,19.49,N-rich_QSO
116.183621618839,21.3489767320874,16.1894,J074447.27+212000.4,8/25/2017 7:44:47 AM,+21:20:00.4,116.197,21.33344,2.502,19.96,N-rich_QSO
116.198139874723,21.3172611727349,12.921,J074447.27+212000.4,8/25/2017 7:44:47 AM,+21:20:00.4,116.197,21.33344,2.502,19.96,N-rich_QSO
121.813100063749,6.91197782024768,14.03165,J080712.05+065344.2,8/25/2017 8:07:12 AM,+06:53:44.2,121.8002,6.895611,1.786,19.09,N-rich_QSO
121.805743622907,6.90572911435439,16.01841,J080712.05+065344.2,8/25/2017 8:07:12 AM,+06:53:44.2,121.8002,6.895611,1.786,19.09,N-rich_QSO
121.803304910342,6.90567117819437,15.59421,J080712.05+065344.2,8/25/2017 8:07:12 AM,+06:53:44.2,121.8002,6.895611,1.786,19.09,N-rich_QSO
121.783170872288,6.91283428888242,15.64407,J080712.05+065344.2,8/25/2017 8:07:12 AM,+06:53:44.2,121.8002,6.895611,1.786,19.09,N-rich_QSO
121.787027633848,6.87585894731348,15.49844,J080712.05+065344.2,8/25/2017 8:07:12 AM,+06:53:44.2,121.8002,6.895611,1.786,19.09,N-rich_QSO
121.785315612142,6.87821496867473,14.39872,J080712.05+065344.2,8/25/2017 8:07:12 AM,+06:53:44.2,121.8002,6.895611,1.786,19.09,N-rich_QSO
59.3376194372219,-5.46104512241891,15.02306,J035722.94-052837.1,8/25/2017 3:57:22 AM,-05:28:37.1,59.34558,-5.476972,2.289,19.09,N-rich_QSO
59.3490744022885,-5.45790694544989,16.04674,J035722.94-052837.1,8/25/2017 3:57:22 AM,-05:28:37.1,59.34558,-5.476972,2.289,19.09,N-rich_QSO
